transaction_id,product_id,quantity,price,timestamp
T0067,P00015,3.0,24.52,
T0068,P00013,5.041242874706605,32.18,2024-10-12
T0069,P00009,8.0,27.66,2024-10-22
T0070,P00015,5.0,20.77,
T0071,P00013,9.0,37.32,
T0072,P00001,2.0,28.54,
T0073,P00007,7.0,20.57,2024-10-30
T0074,P00009,5.0,36.95,
T0075,P00001,5.041242874706605,39.66,
T0076,P00012,2.0,9.59,2024-11-04
T0077,P00008,4.0,24.68,
T0078,P00011,7.0,27.66,
T0079,P00019,2.0,22.15,
T0080,P00017,6.0,27.66,
T0081,P00008,5.0,28.55,
T0082,P00003,5.041242874706605,25.28,2024-10-22
T0083,P00003,3.0,48.93,2024-11-04
T0084,P00001,7.0,5.85,
T0085,P00005,5.041242874706605,13.8,2024-10-29
T0086,P00010,4.0,36.15,
T0087,P00007,3.0,27.66,
T0088,P00009,3.0,13.22,
T0089,P00007,3.0,37.99,2024-10-18
T0090,P00009,5.041242874706605,42.87,2024-10-06
T0091,P00008,1.0,15.12,2024-10-09
T0092,P00012,3.0,36.5,2024-10-08
T0093,P00002,6.0,29.9,
T0094,P00001,7.0,27.66,
T0095,P00016,8.0,25.36,
T0096,P00005,2.0,14.59,2024-10-23
T0097,P00003,6.0,6.61,
T0098,P00012,3.0,34.16,
T0099,P00008,8.0,30.63,
T0100,P00003,3.0,37.08,2024-10-14
T0101,P00001,9.0,27.66,2024-10-20
T0102,P00003,6.0,21.95,
T0103,P00005,6.0,27.66,
T0104,P00015,6.0,43.79,
T0105,P00014,8.0,39.06,
T0106,P00003,2.0,16.59,
T0107,P00001,5.0,26.54,
T0108,P00005,3.0,8.24,
T0109,P00014,1.0,7.61,
T0110,P00007,5.041242874706605,13.77,
T0111,P00009,4.0,17.93,
T0112,P00015,5.0,10.95,
T0113,P00015,5.041242874706605,7.33,
T0114,P00010,3.0,27.66,2024-10-09
T0115,P00013,4.0,27.66,2024-10-13
T0116,P00019,8.0,7.63,
T0117,P00007,8.0,21.76,2024-10-26
T0118,P00017,8.0,27.66,2024-10-27
T0119,P00004,2.0,22.64,
T0120,P00005,8.0,18.1,
T0121,P00007,3.0,37.57,2024-10-29
T0122,P00013,2.0,19.51,
T0123,P00015,9.0,47.0,2024-10-07
T0124,P00011,3.0,27.66,2024-11-03
T0125,P00004,9.0,41.86,
T0126,P00013,2.0,26.85,2024-10-10
T0127,P00007,6.0,29.63,
T0128,P00019,6.0,33.57,2024-10-16
T0129,P00002,4.0,27.66,
T0130,P00010,9.0,6.24,
T0131,P00013,7.0,28.76,2024-10-11
T0132,P00006,5.0,17.99,2024-10-12
T0133,P00012,9.0,17.61,2024-10-20
T0134,P00012,6.0,20.9,2024-10-30
T0135,P00011,5.0,41.94,
T0136,P00007,9.0,35.38,
T0137,P00001,5.0,27.66,
T0138,P00001,6.0,27.66,
T0139,P00013,7.0,8.59,2024-10-13
T0140,P00009,5.0,42.39,
T0141,P00003,8.0,27.66,
T0142,P00007,4.0,46.81,2024-10-08
T0143,P00006,5.0,27.66,
T0144,P00008,3.0,27.12,2024-11-01
T0145,P00009,7.0,20.55,2024-11-01
T0146,P00005,3.0,36.3,
T0147,P00001,3.0,5.06,2024-10-14
T0148,P00019,5.041242874706605,27.66,2024-10-20
T0149,P00010,6.0,27.68,2024-10-12
T0150,P00012,4.0,41.93,2024-10-15
T0151,P00015,8.0,27.66,
T0152,P00009,2.0,46.35,
T0153,P00017,3.0,7.55,
T0154,P00017,6.0,27.66,2024-10-19
T0155,P00012,2.0,13.91,
T0156,P00007,8.0,42.03,
T0157,P00002,6.0,42.49,
T0158,P00003,9.0,39.29,
T0159,P00017,7.0,22.76,
T0160,P00005,1.0,12.62,
T0161,P00017,4.0,27.66,
T0162,P00017,4.0,41.92,
T0163,P00017,3.0,17.96,
T0164,P00002,5.041242874706605,34.2,
T0165,P00002,8.0,12.06,
T0166,P00005,6.0,41.34,
T0167,P00001,6.0,8.35,2024-10-29
T0168,P00001,5.0,27.66,
T0169,P00019,8.0,44.24,
T0170,P00002,5.041242874706605,20.36,
T0171,P00012,7.0,41.05,2024-10-06
T0172,P00006,5.0,36.76,2024-10-21
T0173,P00004,5.0,5.97,2024-10-25
T0174,P00011,4.0,37.03,
T0175,P00017,4.0,27.66,2024-10-06
T0176,P00006,9.0,44.99,2024-10-31
T0177,P00005,4.0,30.84,
T0178,P00002,3.0,41.91,
T0179,P00006,9.0,24.75,
T0180,P00011,5.0,27.66,
T0181,P00016,7.0,9.89,
T0182,P00016,8.0,49.55,
T0183,P00001,8.0,49.99,
T0184,P00009,3.0,30.01,
T0185,P00006,9.0,47.18,
T0186,P00016,8.0,18.36,
T0187,P00003,5.0,9.17,
T0188,P00004,3.0,38.8,2024-10-30
T0189,P00019,7.0,17.97,2024-11-01
T0190,P00003,2.0,27.66,2024-10-14
T0191,P00019,5.041242874706605,25.47,2024-10-09
T0192,P00007,9.0,45.27,
T0193,P00009,8.0,9.79,2024-10-23
T0194,P00001,9.0,49.46,2024-10-22
T0195,P00008,8.0,27.66,2024-10-24
T0196,P00007,2.0,38.14,
T0197,P00018,8.0,38.57,
T0198,P00008,7.0,35.99,
T0199,P00001,9.0,49.1,
T0200,P00011,1.0,22.03,
T0201,P00018,7.0,26.19,
T0202,P00010,5.041242874706605,27.66,2024-10-21
T0203,P00003,4.0,46.01,
T0204,P00007,3.0,16.49,
T0205,P00016,8.0,36.75,
T0206,P00016,5.041242874706605,45.89,
T0207,P00017,2.0,27.36,
T0208,P00002,8.0,28.51,
T0209,P00001,8.0,39.95,2024-10-10
T0210,P00016,1.0,17.22,
T0211,P00012,1.0,33.49,2024-10-30
T0212,P00005,9.0,6.27,
T0213,P00005,5.0,31.33,
T0214,P00009,9.0,47.86,2024-11-03
T0215,P00009,1.0,38.89,
T0216,P00003,6.0,42.23,
T0217,P00019,4.0,19.12,
T0218,P00016,6.0,22.13,
T0219,P00016,2.0,12.94,
T0220,P00003,8.0,27.66,
T0221,P00001,8.0,19.01,
T0222,P00011,2.0,22.35,
T0223,P00017,4.0,41.46,2024-10-22
T0224,P00008,3.0,9.95,2024-10-23
T0225,P00004,7.0,34.44,
T0226,P00006,7.0,27.66,
T0227,P00008,5.041242874706605,19.4,
T0228,P00003,4.0,27.66,
T0229,P00016,7.0,44.68,
T0230,P00003,7.0,38.63,2024-10-23
T0231,P00018,4.0,25.0,2024-10-30
T0232,P00014,6.0,27.66,
T0233,P00018,2.0,15.95,
T0234,P00002,6.0,46.07,2024-11-03
T0235,P00003,9.0,26.79,
T0236,P00016,5.0,22.52,
T0237,P00009,1.0,26.64,2024-10-24
T0238,P00004,7.0,37.05,
T0239,P00001,6.0,35.38,
T0240,P00004,1.0,13.51,
T0241,P00001,1.0,15.78,
T0242,P00014,4.0,31.11,
T0243,P00016,4.0,32.14,
T0244,P00008,7.0,36.98,2024-10-24
T0245,P00007,9.0,27.66,2024-10-12
T0246,P00003,5.041242874706605,6.93,2024-11-02
T0247,P00017,2.0,31.5,
T0248,P00001,3.0,42.88,2024-10-17
T0249,P00016,3.0,39.22,2024-10-23
T0250,P00012,4.0,27.66,
T0251,P00019,5.0,15.31,
T0252,P00014,1.0,34.4,
T0253,P00006,5.041242874706605,27.66,2024-10-29
T0254,P00006,5.0,35.55,2024-10-24
T0255,P00013,1.0,43.67,
T0256,P00019,2.0,29.48,2024-10-07
T0257,P00008,1.0,30.91,
T0258,P00002,9.0,29.07,2024-10-28
T0259,P00001,7.0,9.62,
T0260,P00015,8.0,23.27,2024-10-11
T0261,P00001,9.0,43.15,2024-10-23
T0262,P00005,1.0,47.64,2024-10-19
T0263,P00016,6.0,17.07,
T0264,P00019,1.0,27.66,2024-11-01
T0265,P00004,3.0,37.12,
T0266,P00003,3.0,27.66,
T0267,P00017,7.0,10.53,
T0268,P00017,3.0,27.66,2024-10-26
T0269,P00012,9.0,23.38,
T0270,P00014,8.0,15.63,
T0271,P00006,7.0,6.03,2024-10-19
T0272,P00003,7.0,13.35,
T0273,P00009,6.0,46.19,
T0274,P00005,4.0,48.33,2024-10-23
T0275,P00017,2.0,17.79,
T0276,P00014,1.0,10.96,
T0277,P00003,1.0,15.67,2024-10-06
T0278,P00001,8.0,41.12,
T0279,P00001,2.0,42.52,
T0280,P00003,9.0,47.98,
T0281,P00018,5.0,27.66,
T0282,P00010,5.041242874706605,49.37,
T0283,P00003,8.0,42.87,
T0284,P00008,7.0,27.66,
T0285,P00014,6.0,45.63,
T0286,P00018,7.0,23.36,
T0287,P00015,5.0,28.12,
T0288,P00002,6.0,26.49,
T0289,P00010,7.0,28.37,2024-10-29
T0290,P00002,5.0,27.66,
T0291,P00017,8.0,22.54,
T0292,P00008,2.0,27.66,2024-10-06
T0293,P00001,9.0,16.95,
T0294,P00009,1.0,49.36,
T0295,P00011,5.0,10.34,2024-10-10
T0296,P00016,3.0,28.02,
T0297,P00007,7.0,11.33,
T0298,P00010,7.0,7.79,2024-10-07
T0299,P00003,1.0,15.82,
T0300,P00018,7.0,33.38,
T0301,P00013,2.0,14.44,2024-10-30
T0302,P00007,5.0,19.86,2024-11-04
T0303,P00004,5.041242874706605,48.87,2024-10-11
T0304,P00013,3.0,21.57,2024-11-03
T0305,P00001,2.0,27.66,
T0306,P00008,8.0,49.35,
T0307,P00014,5.0,29.1,2024-10-31
T0308,P00016,9.0,49.52,
T0309,P00014,7.0,14.67,
T0310,P00012,2.0,20.1,
T0311,P00019,3.0,27.66,
T0312,P00015,7.0,13.94,
T0313,P00002,5.041242874706605,26.35,
T0314,P00002,1.0,43.0,2024-10-21
T0315,P00019,9.0,35.66,
T0316,P00017,7.0,9.25,2024-10-27
T0317,P00010,7.0,10.13,
T0318,P00006,1.0,14.77,
T0319,P00015,8.0,9.12,2024-10-31
T0320,P00011,3.0,9.61,
T0321,P00005,7.0,31.86,
T0322,P00001,2.0,37.54,
T0323,P00008,1.0,16.42,
T0324,P00012,1.0,27.66,2024-10-30
T0325,P00012,5.041242874706605,27.66,2024-10-19
T0326,P00005,1.0,45.08,
T0327,P00007,5.0,36.27,
T0328,P00004,4.0,31.78,2024-10-14
T0329,P00006,1.0,38.74,
T0330,P00013,7.0,28.27,
T0331,P00015,5.041242874706605,38.16,
T0332,P00003,5.0,7.9,
T0333,P00008,5.0,47.59,2024-10-15
T0334,P00016,3.0,27.66,2024-10-25
T0335,P00013,9.0,27.56,
T0336,P00018,2.0,31.47,
T0337,P00010,1.0,18.73,
T0338,P00019,2.0,27.66,
T0339,P00017,1.0,33.88,
T0340,P00019,5.0,45.74,
T0341,P00005,5.0,47.46,
T0342,P00009,6.0,14.16,
T0343,P00012,3.0,16.17,
T0344,P00001,5.041242874706605,47.9,
T0345,P00001,1.0,47.94,
T0346,P00015,8.0,31.95,
T0347,P00002,5.0,7.78,2024-10-11
T0348,P00016,5.0,17.36,
T0349,P00008,1.0,27.66,
T0350,P00013,3.0,27.66,
T0351,P00001,5.041242874706605,49.6,
T0352,P00016,3.0,48.16,
T0353,P00007,9.0,36.02,
T0354,P00005,1.0,15.24,2024-10-31
T0355,P00003,9.0,44.63,
T0356,P00012,3.0,27.66,2024-11-04
T0357,P00016,5.041242874706605,11.53,
T0358,P00019,9.0,30.35,
T0359,P00005,4.0,27.66,2024-10-21
T0360,P00014,4.0,27.66,2024-10-15
T0361,P00005,9.0,27.66,
T0362,P00015,8.0,36.2,2024-10-29
T0363,P00017,4.0,18.37,2024-10-18
T0364,P00014,1.0,31.1,
T0365,P00005,7.0,20.66,2024-10-11
T0366,P00012,8.0,38.82,
T0367,P00016,3.0,22.52,2024-10-30
T0368,P00016,2.0,27.66,
T0369,P00007,6.0,30.8,2024-10-06
T0370,P00004,5.041242874706605,25.71,
T0371,P00001,9.0,41.54,2024-10-19
T0372,P00005,3.0,33.87,
T0373,P00010,6.0,42.48,
T0374,P00005,3.0,37.81,2024-10-16
T0375,P00004,6.0,31.39,2024-10-22
T0376,P00002,3.0,44.28,
T0377,P00010,8.0,32.29,
T0378,P00019,3.0,23.26,2024-11-01
T0379,P00001,6.0,45.43,2024-10-27
T0380,P00005,9.0,48.74,2024-10-13
T0381,P00013,3.0,27.88,
T0382,P00004,7.0,39.24,2024-10-13
T0383,P00016,8.0,25.92,
T0384,P00016,6.0,27.66,
T0385,P00002,5.0,11.83,
T0386,P00017,2.0,23.44,
T0387,P00012,3.0,27.66,
T0388,P00018,5.0,17.81,2024-10-15
T0389,P00003,5.0,22.65,
T0390,P00001,9.0,31.54,2024-10-21
T0391,P00001,7.0,28.55,
T0392,P00019,3.0,46.3,2024-10-12
T0393,P00011,6.0,14.12,
T0394,P00005,9.0,40.9,
T0395,P00012,4.0,47.78,
T0396,P00003,3.0,17.33,2024-10-11
T0397,P00001,8.0,18.12,
T0398,P00001,3.0,39.98,
T0399,P00008,5.041242874706605,10.22,
T0400,P00010,2.0,8.82,
T0401,P00011,5.0,27.66,2024-10-06
T0402,P00012,7.0,39.13,2024-11-01
T0403,P00013,8.0,30.32,
T0404,P00012,4.0,26.75,2024-10-25
T0405,P00014,1.0,47.58,
T0406,P00002,6.0,12.53,
T0407,P00019,5.041242874706605,27.66,2024-11-03
T0408,P00018,5.041242874706605,29.78,
T0409,P00003,9.0,30.83,2024-10-29
T0410,P00017,4.0,27.43,2024-10-13
T0411,P00008,4.0,6.48,2024-10-07
T0412,P00010,2.0,27.66,2024-10-24
T0413,P00002,5.041242874706605,42.59,2024-10-10
T0414,P00019,6.0,10.28,
T0415,P00009,4.0,33.02,2024-10-21
T0416,P00007,1.0,27.66,2024-10-16
T0417,P00004,8.0,32.52,
T0418,P00018,2.0,27.66,
T0419,P00013,1.0,30.87,
T0420,P00011,4.0,25.98,2024-10-26
T0421,P00004,6.0,42.73,
T0422,P00004,1.0,42.38,
T0423,P00010,4.0,27.66,
T0424,P00005,8.0,41.33,
T0425,P00009,8.0,27.66,
T0426,P00003,4.0,48.28,
T0427,P00017,6.0,30.82,
T0428,P00003,5.0,27.66,2024-10-06
T0429,P00016,5.041242874706605,15.63,2024-10-23
T0430,P00004,6.0,42.67,
T0431,P00018,2.0,27.66,
T0432,P00017,8.0,24.06,
T0433,P00007,1.0,27.66,
T0434,P00005,9.0,15.09,2024-10-30
T0435,P00012,5.0,22.22,
T0436,P00017,6.0,42.66,
T0437,P00013,4.0,42.28,
T0438,P00003,9.0,44.07,
T0439,P00009,3.0,27.66,
T0440,P00017,4.0,28.88,
T0441,P00017,9.0,31.55,
T0442,P00016,3.0,36.3,
T0443,P00013,8.0,14.88,
T0444,P00019,1.0,33.0,
T0445,P00017,5.0,43.24,
T0446,P00004,6.0,27.66,2024-10-13
T0447,P00012,1.0,14.08,
T0448,P00009,7.0,14.81,
T0449,P00019,6.0,49.36,
T0450,P00012,8.0,6.63,2024-10-23
T0451,P00009,3.0,29.23,
T0452,P00007,2.0,33.95,
T0453,P00014,7.0,27.48,
T0454,P00019,8.0,12.46,
T0455,P00015,8.0,10.66,
T0456,P00016,3.0,27.66,2024-10-26
T0457,P00005,2.0,48.39,2024-10-14
T0458,P00003,1.0,6.01,
T0459,P00012,9.0,14.25,2024-10-08
T0460,P00004,1.0,42.52,
T0461,P00016,7.0,41.73,
T0462,P00007,8.0,20.99,
T0463,P00013,2.0,36.75,2024-10-08
T0464,P00010,5.0,9.22,
T0465,P00007,7.0,18.09,2024-10-22
T0466,P00014,8.0,26.8,
T0467,P00005,9.0,20.89,
T0468,P00003,6.0,5.65,2024-11-04
T0469,P00011,8.0,20.82,2024-10-09
T0470,P00011,3.0,42.27,
T0471,P00018,3.0,21.55,
T0472,P00015,1.0,45.21,2024-10-12
T0473,P00012,1.0,33.22,
T0474,P00009,1.0,10.27,
T0475,P00010,5.0,49.88,2024-10-13
T0476,P00012,9.0,33.3,
T0477,P00017,4.0,26.72,
T0478,P00006,7.0,14.75,
T0479,P00007,3.0,19.99,2024-10-22
T0480,P00014,6.0,19.97,
T0481,P00013,5.041242874706605,46.15,
T0482,P00008,7.0,27.66,
T0483,P00010,5.041242874706605,27.66,
T0484,P00009,9.0,27.66,
T0485,P00018,5.0,32.88,
T0486,P00002,4.0,27.66,
T0487,P00005,5.041242874706605,31.73,
T0488,P00005,9.0,36.28,
T0489,P00006,6.0,34.03,2024-10-12
T0490,P00019,6.0,49.04,2024-11-03
T0491,P00008,6.0,24.13,
T0492,P00016,6.0,38.54,2024-10-11
T0493,P00013,5.041242874706605,27.66,
T0494,P00001,9.0,48.62,2024-10-17
T0495,P00017,2.0,27.66,2024-10-31
T0496,P00007,4.0,38.59,
T0497,P00013,8.0,19.23,2024-10-14
T0498,P00004,6.0,46.11,2024-10-23
T0499,P00004,8.0,21.24,
T0500,P00006,9.0,46.58,
T0501,P00019,5.041242874706605,39.49,2024-10-06
T0502,P00012,2.0,27.65,2024-10-15
T0503,P00007,5.0,18.12,
T0504,P00010,4.0,6.59,
T0505,P00019,4.0,13.97,2024-10-09
T0506,P00007,3.0,26.21,
T0507,P00003,5.0,15.58,
T0508,P00013,7.0,20.09,2024-11-04
T0509,P00013,5.0,18.1,
T0510,P00018,1.0,24.83,
T0511,P00008,6.0,17.76,
T0512,P00009,5.041242874706605,19.45,
T0513,P00007,3.0,27.66,
T0514,P00001,2.0,49.32,
T0515,P00003,3.0,31.93,
T0516,P00013,9.0,32.01,
T0517,P00017,3.0,24.98,
T0518,P00001,1.0,27.66,
T0519,P00006,4.0,27.66,
T0520,P00006,8.0,17.37,
T0521,P00012,4.0,24.78,
T0522,P00013,5.0,23.72,
T0523,P00013,5.0,17.41,2024-10-06
T0524,P00015,6.0,36.23,2024-10-30
T0525,P00016,7.0,23.05,
T0526,P00011,8.0,27.66,
T0527,P00005,5.041242874706605,37.27,
T0528,P00004,1.0,27.66,
T0529,P00003,6.0,22.28,2024-10-31
T0530,P00019,2.0,17.34,2024-10-22
T0531,P00018,3.0,25.16,2024-11-04
T0532,P00015,2.0,40.95,
T0533,P00009,1.0,27.66,2024-11-04
T0534,P00017,4.0,7.44,
T0535,P00014,2.0,32.63,
T0536,P00015,4.0,30.14,
T0537,P00001,7.0,28.38,2024-10-31
T0538,P00003,6.0,18.03,
T0539,P00016,5.041242874706605,26.61,
T0540,P00011,9.0,27.66,
T0541,P00012,4.0,32.0,2024-10-29
T0542,P00010,3.0,39.04,
T0543,P00016,1.0,45.05,
T0544,P00008,9.0,8.96,
T0545,P00006,9.0,36.51,
T0546,P00012,3.0,27.66,
T0547,P00008,4.0,19.06,2024-10-31
T0548,P00004,7.0,27.66,2024-10-13
T0549,P00008,2.0,6.29,2024-10-21
T0550,P00018,5.0,27.66,
T0551,P00005,6.0,26.04,2024-10-25
T0552,P00009,8.0,27.66,
T0553,P00004,5.041242874706605,49.91,
T0554,P00017,2.0,27.66,
T0555,P00009,2.0,9.66,
T0556,P00001,1.0,27.66,
T0557,P00013,5.0,10.8,
T0558,P00016,4.0,8.66,
T0559,P00013,5.0,28.71,2024-10-26
T0560,P00014,1.0,34.73,2024-10-08
T0561,P00003,4.0,48.83,
T0562,P00006,2.0,25.21,
T0563,P00018,7.0,31.01,
T0564,P00019,6.0,11.35,2024-10-12
T0565,P00005,2.0,15.98,
T0566,P00015,3.0,17.44,
T0567,P00002,5.0,20.56,2024-10-31
T0568,P00010,3.0,14.52,
T0569,P00018,5.0,29.28,
T0570,P00013,6.0,13.97,2024-10-06
T0571,P00005,6.0,40.1,
T0572,P00001,8.0,48.85,2024-10-27
T0573,P00001,2.0,20.36,
T0574,P00018,2.0,6.78,
T0575,P00015,7.0,35.75,
T0576,P00017,5.0,13.19,2024-10-21
T0577,P00011,8.0,18.97,
T0578,P00017,9.0,11.75,
T0579,P00013,8.0,22.69,
T0580,P00001,2.0,27.66,
T0581,P00002,9.0,39.23,2024-10-23
T0582,P00009,2.0,5.1,2024-10-10
T0583,P00003,4.0,10.3,2024-10-13
T0584,P00001,8.0,48.28,
T0585,P00016,8.0,43.31,
T0586,P00006,7.0,17.68,
T0587,P00017,1.0,27.66,2024-10-09
T0588,P00005,5.0,27.66,2024-10-25
T0589,P00005,6.0,27.66,
T0590,P00006,8.0,27.94,2024-10-08
T0591,P00003,5.0,27.66,2024-11-04
T0592,P00005,3.0,30.63,
T0593,P00005,5.0,32.32,
T0594,P00010,3.0,8.31,
T0595,P00010,6.0,13.65,
T0596,P00019,4.0,6.45,
T0597,P00017,3.0,27.66,
T0598,P00014,2.0,27.66,
T0599,P00009,7.0,22.34,2024-10-08
T0600,P00014,5.041242874706605,14.81,
T0601,P00001,3.0,27.66,
T0602,P00019,3.0,43.34,
T0603,P00013,1.0,42.18,
T0604,P00013,2.0,33.84,
T0605,P00004,6.0,42.76,
T0606,P00001,7.0,27.66,
T0607,P00017,5.041242874706605,27.66,
T0608,P00008,5.0,23.43,
T0609,P00002,1.0,5.86,2024-10-08
T0610,P00008,5.041242874706605,46.76,
T0611,P00007,5.0,47.64,
T0612,P00002,3.0,31.52,
T0613,P00003,5.0,9.06,
T0614,P00018,4.0,35.05,
T0615,P00012,9.0,29.98,2024-10-31
T0616,P00001,1.0,22.94,2024-10-11
T0617,P00012,1.0,32.21,
T0618,P00005,3.0,45.37,
T0619,P00017,3.0,7.4,2024-10-13
T0620,P00016,6.0,35.08,
T0621,P00015,8.0,33.51,2024-11-01
T0622,P00015,7.0,41.06,
T0623,P00005,7.0,44.31,
T0624,P00014,4.0,27.66,
T0625,P00002,4.0,13.27,2024-10-18
T0626,P00011,3.0,29.35,
T0627,P00019,2.0,5.02,
T0628,P00007,3.0,27.66,2024-10-29
T0629,P00006,5.041242874706605,23.76,2024-11-04
T0630,P00002,3.0,35.41,
T0631,P00006,2.0,7.53,
T0632,P00018,5.041242874706605,9.11,
T0633,P00002,4.0,29.19,
T0634,P00018,1.0,40.6,
T0635,P00015,1.0,31.43,2024-11-02
T0636,P00019,4.0,12.14,
T0637,P00002,5.041242874706605,26.57,2024-10-19
T0638,P00006,1.0,11.75,
T0639,P00001,8.0,8.53,2024-10-12
T0640,P00015,2.0,19.22,2024-10-11
T0641,P00010,1.0,21.8,
T0642,P00019,8.0,27.66,
T0643,P00017,2.0,6.25,
T0644,P00005,5.0,36.56,2024-11-04
T0645,P00004,7.0,15.74,
T0646,P00010,2.0,6.33,2024-10-23
T0647,P00017,8.0,27.19,2024-10-15
T0648,P00010,8.0,24.31,
T0649,P00017,6.0,10.61,
T0650,P00005,4.0,35.34,2024-10-07
T0651,P00002,3.0,27.66,
T0652,P00006,5.0,5.58,
T0653,P00002,2.0,41.77,
T0654,P00013,5.0,30.07,
T0655,P00011,3.0,41.63,2024-10-11
T0656,P00011,8.0,34.7,
T0657,P00016,9.0,32.65,
T0658,P00011,6.0,16.76,2024-10-27
T0659,P00019,5.041242874706605,21.16,
T0660,P00015,5.0,33.59,
T0661,P00016,2.0,27.85,
T0662,P00011,3.0,21.45,
T0663,P00016,3.0,21.65,2024-11-01
T0664,P00008,1.0,27.84,
T0665,P00004,9.0,10.1,2024-10-07
T0666,P00008,9.0,21.34,
T0667,P00004,5.041242874706605,44.68,
T0668,P00003,9.0,21.1,
T0669,P00003,8.0,36.75,
T0670,P00018,6.0,21.62,
T0671,P00019,7.0,20.06,
T0672,P00019,2.0,7.24,2024-11-03
T0673,P00005,2.0,8.95,
T0674,P00018,8.0,34.14,2024-11-04
T0675,P00010,2.0,14.32,2024-10-18
T0676,P00006,7.0,47.46,
T0677,P00001,4.0,34.41,
T0678,P00005,9.0,27.66,
T0679,P00009,9.0,9.95,
T0680,P00012,4.0,24.23,
T0681,P00014,5.0,45.45,2024-10-17
T0682,P00002,1.0,6.91,
T0683,P00017,9.0,15.29,
T0684,P00014,2.0,43.73,
T0685,P00013,9.0,47.09,2024-10-14
T0686,P00009,6.0,27.29,
T0687,P00015,9.0,29.22,
T0688,P00015,5.041242874706605,27.66,2024-10-11
T0689,P00011,9.0,9.46,
T0690,P00016,4.0,8.29,
T0691,P00017,9.0,27.66,2024-10-24
T0692,P00004,3.0,49.05,2024-10-21
T0693,P00001,4.0,17.85,
T0694,P00008,9.0,25.38,
T0695,P00017,2.0,8.21,
T0696,P00003,5.0,27.66,2024-10-30
T0697,P00015,9.0,5.15,2024-10-27
T0698,P00015,4.0,45.86,2024-10-12
T0699,P00014,5.0,29.21,
T0700,P00014,5.041242874706605,24.1,
T0701,P00002,3.0,11.62,2024-10-30
T0702,P00013,9.0,27.66,
T0703,P00014,2.0,34.46,
T0704,P00019,7.0,19.33,
T0705,P00007,5.041242874706605,24.02,
T0706,P00003,5.0,27.66,
T0707,P00015,1.0,6.83,
T0708,P00014,9.0,31.58,
T0709,P00011,3.0,35.53,
T0710,P00015,4.0,44.8,
T0711,P00013,1.0,35.76,2024-10-10
T0712,P00018,9.0,12.6,2024-10-12
T0713,P00006,3.0,11.78,2024-11-03
T0714,P00003,5.041242874706605,11.69,2024-10-06
T0715,P00019,5.0,5.09,2024-10-25
T0716,P00015,6.0,41.84,
T0717,P00005,2.0,16.12,
T0718,P00010,7.0,14.66,
T0719,P00007,5.0,7.39,
T0720,P00017,9.0,43.68,
T0721,P00007,7.0,43.04,
